year,state,county,candidate,party,votes,total_county_votes
2016,Virginia,Dickenson,Donald Trump,republican,4932,6440
2016,Virginia,Dickenson,Other,NA,173,6440
2016,Virginia,Dinwiddie,Hillary Clinton,democrat,5765,13575
2016,Virginia,Dinwiddie,Donald Trump,republican,7447,13575
2016,Virginia,Dinwiddie,Other,NA,363,13575
2016,Virginia,Essex,Hillary Clinton,democrat,2542,5408
2016,Virginia,Essex,Donald Trump,republican,2657,5408
2016,Virginia,Essex,Other,NA,209,5408
2016,Virginia,Fairfax,Hillary Clinton,democrat,355133,551183
2016,Virginia,Fairfax,Donald Trump,republican,157710,551183
2016,Virginia,Fairfax,Other,NA,38340,551183
2016,Virginia,Fauquier,Hillary Clinton,democrat,12971,37467
2016,Virginia,Fauquier,Donald Trump,republican,22127,37467
2016,Virginia,Fauquier,Other,NA,2369,37467
2016,Virginia,Floyd,Hillary Clinton,democrat,2300,8051
2016,Virginia,Floyd,Donald Trump,republican,5293,8051
2016,Virginia,Floyd,Other,NA,458,8051
2016,Virginia,Fluvanna,Hillary Clinton,democrat,5760,13597
2016,Virginia,Fluvanna,Donald Trump,republican,7025,13597
2016,Virginia,Fluvanna,Other,NA,812,13597
2016,Virginia,Franklin,Hillary Clinton,democrat,7257,26971
2016,Virginia,Franklin,Donald Trump,republican,18569,26971
2016,Virginia,Franklin,Other,NA,1145,26971
2016,Virginia,Frederick,Hillary Clinton,democrat,11932,40440
2016,Virginia,Frederick,Donald Trump,republican,26083,40440
2016,Virginia,Frederick,Other,NA,2425,40440
2016,Virginia,Giles,Hillary Clinton,democrat,1950,8212
2016,Virginia,Giles,Donald Trump,republican,5910,8212
2016,Virginia,Giles,Other,NA,352,8212
2016,Virginia,Gloucester,Hillary Clinton,democrat,5404,19619
2016,Virginia,Gloucester,Donald Trump,republican,13096,19619
2016,Virginia,Gloucester,Other,NA,1119,19619
2016,Virginia,Goochland,Hillary Clinton,democrat,4889,14037
2016,Virginia,Goochland,Donald Trump,republican,8384,14037
2016,Virginia,Goochland,Other,NA,764,14037
2016,Virginia,Grayson,Hillary Clinton,democrat,1407,7285
2016,Virginia,Grayson,Donald Trump,republican,5592,7285
2016,Virginia,Grayson,Other,NA,286,7285
2016,Virginia,Greene,Hillary Clinton,democrat,2924,9608
2016,Virginia,Greene,Donald Trump,republican,5945,9608
2016,Virginia,Greene,Other,NA,739,9608
2016,Virginia,Greensville,Hillary Clinton,democrat,2558,4363
2016,Virginia,Greensville,Donald Trump,republican,1737,4363
2016,Virginia,Greensville,Other,NA,68,4363
2016,Virginia,Halifax,Hillary Clinton,democrat,6897,17001
2016,Virginia,Halifax,Donald Trump,republican,9704,17001
2016,Virginia,Halifax,Other,NA,400,17001
2016,Virginia,Hanover,Hillary Clinton,democrat,19382,62753
2016,Virginia,Hanover,Donald Trump,republican,39630,62753
2016,Virginia,Hanover,Other,NA,3741,62753
2016,Virginia,Henrico,Hillary Clinton,democrat,93935,163654
2016,Virginia,Henrico,Donald Trump,republican,59857,163654
2016,Virginia,Henrico,Other,NA,9862,163654
2016,Virginia,Henry,Hillary Clinton,democrat,8198,24106
2016,Virginia,Henry,Donald Trump,republican,15208,24106
2016,Virginia,Henry,Other,NA,700,24106
2016,Virginia,Highland,Hillary Clinton,democrat,371,1391
2016,Virginia,Highland,Donald Trump,republican,958,1391
2016,Virginia,Highland,Other,NA,62,1391
2016,Virginia,Isle of Wight,Hillary Clinton,democrat,7881,21075
2016,Virginia,Isle of Wight,Donald Trump,republican,12204,21075
2016,Virginia,Isle of Wight,Other,NA,990,21075
2016,Virginia,James City,Hillary Clinton,democrat,19105,43173
2016,Virginia,James City,Donald Trump,republican,21306,43173
2016,Virginia,James City,Other,NA,2762,43173
2016,Virginia,King and Queen,Hillary Clinton,democrat,1468,3697
2016,Virginia,King and Queen,Donald Trump,republican,2099,3697
2016,Virginia,King and Queen,Other,NA,130,3697
2016,Virginia,King George,Hillary Clinton,democrat,4007,12059
2016,Virginia,King George,Donald Trump,republican,7341,12059
2016,Virginia,King George,Other,NA,711,12059
2016,Virginia,King William,Hillary Clinton,democrat,2760,9161
2016,Virginia,King William,Donald Trump,republican,5975,9161
2016,Virginia,King William,Other,NA,426,9161
2016,Virginia,Lancaster,Hillary Clinton,democrat,2869,6645
2016,Virginia,Lancaster,Donald Trump,republican,3523,6645
2016,Virginia,Lancaster,Other,NA,253,6645
2016,Virginia,Lee,Hillary Clinton,democrat,1627,9399
2016,Virginia,Lee,Donald Trump,republican,7543,9399
2016,Virginia,Lee,Other,NA,229,9399
2016,Virginia,Loudoun,Hillary Clinton,democrat,100795,183097
2016,Virginia,Loudoun,Donald Trump,republican,69949,183097
2016,Virginia,Loudoun,Other,NA,12353,183097
2016,Virginia,Louisa,Hillary Clinton,democrat,6212,17631
2016,Virginia,Louisa,Donald Trump,republican,10528,17631
2016,Virginia,Louisa,Other,NA,891,17631
2016,Virginia,Lunenburg,Hillary Clinton,democrat,2227,5586
2016,Virginia,Lunenburg,Donald Trump,republican,3204,5586
2016,Virginia,Lunenburg,Other,NA,155,5586
2016,Virginia,Madison,Hillary Clinton,democrat,2203,6979
2016,Virginia,Madison,Donald Trump,republican,4419,6979
2016,Virginia,Madison,Other,NA,357,6979
2016,Virginia,Mathews,Hillary Clinton,democrat,1563,5311
2016,Virginia,Mathews,Donald Trump,republican,3517,5311
2016,Virginia,Mathews,Other,NA,231,5311
2016,Virginia,Mecklenburg,Hillary Clinton,democrat,6285,14945
2016,Virginia,Mecklenburg,Donald Trump,republican,8288,14945
2016,Virginia,Mecklenburg,Other,NA,372,14945
2016,Virginia,Middlesex,Hillary Clinton,democrat,2108,6017
2016,Virginia,Middlesex,Donald Trump,republican,3670,6017
2016,Virginia,Middlesex,Other,NA,239,6017
2016,Virginia,Montgomery,Hillary Clinton,democrat,20021,43031
2016,Virginia,Montgomery,Donald Trump,republican,19459,43031
2016,Virginia,Montgomery,Other,NA,3551,43031
2016,Virginia,Nelson,Hillary Clinton,democrat,3689,8318
2016,Virginia,Nelson,Donald Trump,republican,4154,8318
2016,Virginia,Nelson,Other,NA,475,8318
2016,Virginia,New Kent,Hillary Clinton,democrat,3546,12242
2016,Virginia,New Kent,Donald Trump,republican,8118,12242
2016,Virginia,New Kent,Other,NA,578,12242
2016,Virginia,Northampton,Hillary Clinton,democrat,3255,6172
2016,Virginia,Northampton,Donald Trump,republican,2686,6172
2016,Virginia,Northampton,Other,NA,231,6172
2016,Virginia,Northumberland,Hillary Clinton,democrat,2852,7398
2016,Virginia,Northumberland,Donald Trump,republican,4302,7398
2016,Virginia,Northumberland,Other,NA,244,7398
2016,Virginia,Nottoway,Hillary Clinton,democrat,2829,6744
2016,Virginia,Nottoway,Donald Trump,republican,3712,6744
2016,Virginia,Nottoway,Other,NA,203,6744
2016,Virginia,Orange,Hillary Clinton,democrat,5957,17270
2016,Virginia,Orange,Donald Trump,republican,10521,17270
2016,Virginia,Orange,Other,NA,792,17270
2016,Virginia,Page,Hillary Clinton,democrat,2514,10740
2016,Virginia,Page,Donald Trump,republican,7831,10740
2016,Virginia,Page,Other,NA,395,10740
2016,Virginia,Patrick,Hillary Clinton,democrat,1768,8525
2016,Virginia,Patrick,Donald Trump,republican,6454,8525
2016,Virginia,Patrick,Other,NA,303,8525
2016,Virginia,Pittsylvania,Hillary Clinton,democrat,9199,31598
2016,Virginia,Pittsylvania,Donald Trump,republican,21554,31598
2016,Virginia,Pittsylvania,Other,NA,845,31598
2016,Virginia,Powhatan,Hillary Clinton,democrat,4060,16900
2016,Virginia,Powhatan,Donald Trump,republican,11885,16900
2016,Virginia,Powhatan,Other,NA,955,16900
2016,Virginia,Prince Edward,Hillary Clinton,democrat,4591,9143
2016,Virginia,Prince Edward,Donald Trump,republican,4101,9143
2016,Virginia,Prince Edward,Other,NA,451,9143
2016,Virginia,Prince George,Hillary Clinton,democrat,6419,16184
2016,Virginia,Prince George,Donald Trump,republican,9157,16184
2016,Virginia,Prince George,Other,NA,608,16184
2016,Virginia,Prince William,Hillary Clinton,democrat,113144,196538
2016,Virginia,Prince William,Donald Trump,republican,71721,196538
2016,Virginia,Prince William,Other,NA,11673,196538
2016,Virginia,Pulaski,Hillary Clinton,democrat,4172,15167
2016,Virginia,Pulaski,Donald Trump,republican,10322,15167
2016,Virginia,Pulaski,Other,NA,673,15167
2016,Virginia,Rappahannock,Hillary Clinton,democrat,1747,4483
2016,Virginia,Rappahannock,Donald Trump,republican,2539,4483
2016,Virginia,Rappahannock,Other,NA,197,4483
2016,Virginia,Richmond,Hillary Clinton,democrat,1347,3661
2016,Virginia,Richmond,Donald Trump,republican,2213,3661
2016,Virginia,Richmond,Other,NA,101,3661
2016,Virginia,Roanoke,Hillary Clinton,democrat,17200,51489
2016,Virginia,Roanoke,Donald Trump,republican,31408,51489
2016,Virginia,Roanoke,Other,NA,2881,51489
2016,Virginia,Rockbridge,Hillary Clinton,democrat,3508,10795
2016,Virginia,Rockbridge,Donald Trump,republican,6680,10795
2016,Virginia,Rockbridge,Other,NA,607,10795
2016,Virginia,Rockingham,Hillary Clinton,democrat,9366,37487
2016,Virginia,Rockingham,Donald Trump,republican,25990,37487
2016,Virginia,Rockingham,Other,NA,2131,37487
2016,Virginia,Russell,Hillary Clinton,democrat,2330,12246
2016,Virginia,Russell,Donald Trump,republican,9521,12246
2016,Virginia,Russell,Other,NA,395,12246
2016,Virginia,Scott,Hillary Clinton,democrat,1581,10100
2016,Virginia,Scott,Donald Trump,republican,8247,10100
2016,Virginia,Scott,Other,NA,272,10100
2016,Virginia,Shenandoah,Hillary Clinton,democrat,5273,20513
2016,Virginia,Shenandoah,Donald Trump,republican,14094,20513
2016,Virginia,Shenandoah,Other,NA,1146,20513
2016,Virginia,Smyth,Hillary Clinton,democrat,2665,12890
2016,Virginia,Smyth,Donald Trump,republican,9750,12890
2016,Virginia,Smyth,Other,NA,475,12890
2016,Virginia,Southampton,Hillary Clinton,democrat,3595,8878
2016,Virginia,Southampton,Donald Trump,republican,5035,8878
2016,Virginia,Southampton,Other,NA,248,8878
2016,Virginia,Spotsylvania,Hillary Clinton,democrat,24207,62562
2016,Virginia,Spotsylvania,Donald Trump,republican,34623,62562
2016,Virginia,Spotsylvania,Other,NA,3732,62562
2016,Virginia,Stafford,Hillary Clinton,democrat,27908,65934
2016,Virginia,Stafford,Donald Trump,republican,33868,65934
2016,Virginia,Stafford,Other,NA,4158,65934
2016,Virginia,Surry,Hillary Clinton,democrat,2272,4228
2016,Virginia,Surry,Donald Trump,republican,1819,4228
2016,Virginia,Surry,Other,NA,137,4228
2016,Virginia,Sussex,Hillary Clinton,democrat,2879,5044
2016,Virginia,Sussex,Donald Trump,republican,2055,5044
2016,Virginia,Sussex,Other,NA,110,5044
2016,Virginia,Tazewell,Hillary Clinton,democrat,2895,18566
2016,Virginia,Tazewell,Donald Trump,republican,15168,18566
2016,Virginia,Tazewell,Other,NA,503,18566
2016,Virginia,Warren,Hillary Clinton,democrat,5169,17960
2016,Virginia,Warren,Donald Trump,republican,11773,17960
2016,Virginia,Warren,Other,NA,1018,17960
2016,Virginia,Washington,Hillary Clinton,democrat,5553,25847
2016,Virginia,Washington,Donald Trump,republican,19320,25847
2016,Virginia,Washington,Other,NA,974,25847
2016,Virginia,Westmoreland,Hillary Clinton,democrat,3836,8574
2016,Virginia,Westmoreland,Donald Trump,republican,4448,8574
2016,Virginia,Westmoreland,Other,NA,290,8574
2016,Virginia,Wise,Hillary Clinton,democrat,2701,15163
2016,Virginia,Wise,Donald Trump,republican,12086,15163
2016,Virginia,Wise,Other,NA,376,15163
2016,Virginia,Wythe,Hillary Clinton,democrat,2770,13343
2016,Virginia,Wythe,Donald Trump,republican,10046,13343
2016,Virginia,Wythe,Other,NA,527,13343
2016,Virginia,York,Hillary Clinton,democrat,12999,34118
2016,Virginia,York,Donald Trump,republican,18837,34118
2016,Virginia,York,Other,NA,2282,34118
2016,Virginia,Alexandria,Hillary Clinton,democrat,57242,75770
2016,Virginia,Alexandria,Donald Trump,republican,13285,75770
2016,Virginia,Alexandria,Other,NA,5243,75770
2016,Virginia,Bedford,Hillary Clinton,democrat,NA,0
2016,Virginia,Bedford,Donald Trump,republican,NA,0
2016,Virginia,Bedford,Other,NA,NA,0
2016,Virginia,Bristol,Hillary Clinton,democrat,1835,7032
2016,Virginia,Bristol,Donald Trump,republican,4892,7032
2016,Virginia,Bristol,Other,NA,305,7032
2016,Virginia,Buena Vista,Hillary Clinton,democrat,693,2407
2016,Virginia,Buena Vista,Donald Trump,republican,1430,2407
2016,Virginia,Buena Vista,Other,NA,284,2407
2016,Virginia,Charlottesville,Hillary Clinton,democrat,17901,22472
2016,Virginia,Charlottesville,Donald Trump,republican,2960,22472
2016,Virginia,Charlottesville,Other,NA,1611,22472
2016,Virginia,Chesapeake,Hillary Clinton,democrat,52627,112705
2016,Virginia,Chesapeake,Donald Trump,republican,54047,112705
2016,Virginia,Chesapeake,Other,NA,6031,112705
2016,Virginia,Colonial Heights,Hillary Clinton,democrat,2367,8457
2016,Virginia,Colonial Heights,Donald Trump,republican,5681,8457
2016,Virginia,Colonial Heights,Other,NA,409,8457
2016,Virginia,Covington,Hillary Clinton,democrat,914,2382
2016,Virginia,Covington,Donald Trump,republican,1349,2382
2016,Virginia,Covington,Other,NA,119,2382
2016,Virginia,Danville,Hillary Clinton,democrat,11059,18952
2016,Virginia,Danville,Donald Trump,republican,7303,18952
2016,Virginia,Danville,Other,NA,590,18952
2016,Virginia,Emporia,Hillary Clinton,democrat,1530,2367
2016,Virginia,Emporia,Donald Trump,republican,789,2367
2016,Virginia,Emporia,Other,NA,48,2367
2016,Virginia,Fairfax,Hillary Clinton,democrat,7367,12030
2016,Virginia,Fairfax,Donald Trump,republican,3702,12030
2016,Virginia,Fairfax,Other,NA,961,12030
2016,Virginia,Falls Church,Hillary Clinton,democrat,5819,7757
2016,Virginia,Falls Church,Donald Trump,republican,1324,7757
2016,Virginia,Falls Church,Other,NA,614,7757
2016,Virginia,Franklin,Hillary Clinton,democrat,2519,4070
2016,Virginia,Franklin,Donald Trump,republican,1421,4070
2016,Virginia,Franklin,Other,NA,130,4070
2016,Virginia,Fredericksburg,Hillary Clinton,democrat,6707,11264
2016,Virginia,Fredericksburg,Donald Trump,republican,3744,11264
2016,Virginia,Fredericksburg,Other,NA,813,11264
2016,Virginia,Galax,Hillary Clinton,democrat,681,2376
2016,Virginia,Galax,Donald Trump,republican,1603,2376
2016,Virginia,Galax,Other,NA,92,2376
2016,Virginia,Hampton,Hillary Clinton,democrat,41312,62356
2016,Virginia,Hampton,Donald Trump,republican,17902,62356
2016,Virginia,Hampton,Other,NA,3142,62356
2016,Virginia,Harrisonburg,Hillary Clinton,democrat,10212,17993
2016,Virginia,Harrisonburg,Donald Trump,republican,6262,17993
2016,Virginia,Harrisonburg,Other,NA,1519,17993
2016,Virginia,Hopewell,Hillary Clinton,democrat,4724,9008
2016,Virginia,Hopewell,Donald Trump,republican,3885,9008
2016,Virginia,Hopewell,Other,NA,399,9008
2016,Virginia,Lexington,Hillary Clinton,democrat,1514,2465
2016,Virginia,Lexington,Donald Trump,republican,766,2465
2016,Virginia,Lexington,Other,NA,185,2465
2016,Virginia,Lynchburg,Hillary Clinton,democrat,14792,35671
2016,Virginia,Lynchburg,Donald Trump,republican,17982,35671
2016,Virginia,Lynchburg,Other,NA,2897,35671
2016,Virginia,Manassas,Hillary Clinton,democrat,8423,15411
2016,Virginia,Manassas,Donald Trump,republican,5953,15411
2016,Virginia,Manassas,Other,NA,1035,15411
2016,Virginia,Manassas Park,Hillary Clinton,democrat,3204,5232
2016,Virginia,Manassas Park,Donald Trump,republican,1733,5232
2016,Virginia,Manassas Park,Other,NA,295,5232
2016,Virginia,Martinsville,Hillary Clinton,democrat,3533,5907
2016,Virginia,Martinsville,Donald Trump,republican,2149,5907
2016,Virginia,Martinsville,Other,NA,225,5907
2016,Virginia,Newport News,Hillary Clinton,democrat,45618,75715
2016,Virginia,Newport News,Donald Trump,republican,25468,75715
2016,Virginia,Newport News,Other,NA,4629,75715
2016,Virginia,Norfolk,Hillary Clinton,democrat,57023,83388
2016,Virginia,Norfolk,Donald Trump,republican,21552,83388
2016,Virginia,Norfolk,Other,NA,4813,83388
2016,Virginia,Norton,Hillary Clinton,democrat,383,1460
2016,Virginia,Norton,Donald Trump,republican,1021,1460
2016,Virginia,Norton,Other,NA,56,1460
2016,Virginia,Petersburg,Hillary Clinton,democrat,12021,13786
2016,Virginia,Petersburg,Donald Trump,republican,1451,13786
2016,Virginia,Petersburg,Other,NA,314,13786
2016,Virginia,Poquoson,Hillary Clinton,democrat,1601,7177
2016,Virginia,Poquoson,Donald Trump,republican,5092,7177
2016,Virginia,Poquoson,Other,NA,484,7177
2016,Virginia,Portsmouth,Hillary Clinton,democrat,28497,43265
2016,Virginia,Portsmouth,Donald Trump,republican,12795,43265
2016,Virginia,Portsmouth,Other,NA,1973,43265
2016,Virginia,Radford,Hillary Clinton,democrat,2925,6085
2016,Virginia,Radford,Donald Trump,republican,2638,6085
2016,Virginia,Radford,Other,NA,522,6085
2016,Virginia,Richmond,Hillary Clinton,democrat,81259,103484
2016,Virginia,Richmond,Donald Trump,republican,15581,103484
2016,Virginia,Richmond,Other,NA,6644,103484
2016,Virginia,Roanoke,Hillary Clinton,democrat,22286,39466
2016,Virginia,Roanoke,Donald Trump,republican,14789,39466
2016,Virginia,Roanoke,Other,NA,2391,39466
2016,Virginia,Salem,Hillary Clinton,democrat,4202,12225
2016,Virginia,Salem,Donald Trump,republican,7226,12225
2016,Virginia,Salem,Other,NA,797,12225
2016,Virginia,Staunton,Hillary Clinton,democrat,5333,11255
2016,Virginia,Staunton,Donald Trump,republican,5133,11255
2016,Virginia,Staunton,Other,NA,789,11255
2016,Virginia,Suffolk,Hillary Clinton,democrat,23280,43240
2016,Virginia,Suffolk,Donald Trump,republican,18006,43240
2016,Virginia,Suffolk,Other,NA,1954,43240
2016,Virginia,Virginia Beach,Hillary Clinton,democrat,91032,203262
2016,Virginia,Virginia Beach,Donald Trump,republican,98224,203262
2016,Virginia,Virginia Beach,Other,NA,14006,203262
2016,Virginia,Waynesboro,Hillary Clinton,democrat,3764,9204
2016,Virginia,Waynesboro,Donald Trump,republican,4801,9204
2016,Virginia,Waynesboro,Other,NA,639,9204
2016,Virginia,Williamsburg,Hillary Clinton,democrat,5206,7626
2016,Virginia,Williamsburg,Donald Trump,republican,1925,7626
2016,Virginia,Williamsburg,Other,NA,495,7626
2016,Virginia,Winchester,Hillary Clinton,democrat,5164,10667
2016,Virginia,Winchester,Donald Trump,republican,4790,10667
2016,Virginia,Winchester,Other,NA,713,10667
2016,Washington,Adams,Hillary Clinton,democrat,1299,4644
2016,Washington,Adams,Donald Trump,republican,3083,4644
2016,Washington,Adams,Other,NA,262,4644
2016,Washington,Asotin,Hillary Clinton,democrat,3134,9736
2016,Washington,Asotin,Donald Trump,republican,5741,9736
2016,Washington,Asotin,Other,NA,861,9736
2016,Washington,Benton,Hillary Clinton,democrat,26360,80027
2016,Washington,Benton,Donald Trump,republican,47194,80027
2016,Washington,Benton,Other,NA,6473,80027
2016,Washington,Chelan,Hillary Clinton,democrat,13032,33380
2016,Washington,Chelan,Donald Trump,republican,18114,33380
2016,Washington,Chelan,Other,NA,2234,33380
2016,Washington,Clallam,Hillary Clinton,democrat,17677,39457
2016,Washington,Clallam,Donald Trump,republican,18794,39457
2016,Washington,Clallam,Other,NA,2986,39457
2016,Washington,Clark,Hillary Clinton,democrat,92757,200160
2016,Washington,Clark,Donald Trump,republican,92441,200160
2016,Washington,Clark,Other,NA,14962,200160
2016,Washington,Columbia,Hillary Clinton,democrat,526,2182
2016,Washington,Columbia,Donald Trump,republican,1497,2182
2016,Washington,Columbia,Other,NA,159,2182
2016,Washington,Cowlitz,Hillary Clinton,democrat,17908,45692
2016,Washington,Cowlitz,Donald Trump,republican,24185,45692
2016,Washington,Cowlitz,Other,NA,3599,45692
2016,Washington,Douglas,Hillary Clinton,democrat,4918,15543
2016,Washington,Douglas,Donald Trump,republican,9603,15543
2016,Washington,Douglas,Other,NA,1022,15543
2016,Washington,Ferry,Hillary Clinton,democrat,1098,3601
2016,Washington,Ferry,Donald Trump,republican,2202,3601
2016,Washington,Ferry,Other,NA,301,3601
2016,Washington,Franklin,Hillary Clinton,democrat,8886,23720
2016,Washington,Franklin,Donald Trump,republican,13206,23720
2016,Washington,Franklin,Other,NA,1628,23720
